   0.50000000  -1.05080140 
   0.69387755  -1.12160784 
   0.88775510  -1.11016396 
   1.08163265  -1.07569501 
   1.27551020  -1.03649831 
   1.46938776  -0.99807651 
   1.66326531  -0.96220686 
   1.85714286  -0.92960456 
   2.05102041  -0.90047350 
   2.24489796  -0.87472347 
   2.43877551  -0.85214196 
   2.63265306  -0.83249182 
   2.82653061  -0.81554251 
   3.02040816  -0.80106841 
   3.21428571  -0.78883777 
   3.40816327  -0.77860523 
   3.60204082  -0.77011352 
   3.79591837  -0.76310260 
   3.98979592  -0.75732174 
   4.18367347  -0.75254033 
   4.37755102  -0.74855542 
   4.57142857  -0.74519536 
   4.76530612  -0.74232025 
   4.95918367  -0.73981983 
   5.15306122  -0.73760972 
   5.34693878  -0.73562696 
   5.54081633  -0.73382542 
   5.73469388  -0.73217163 
   5.92857143  -0.73064132 
   6.12244898  -0.72921667 
   6.31632653  -0.72788431 
   6.51020408  -0.72663388 
   6.70408163  -0.72545711 
   6.89795918  -0.72434716 
   7.09183673  -0.72329823 
   7.28571429  -0.72230528 
   7.47959184  -0.72136388 
   7.67346939  -0.72047007 
   7.86734694  -0.71962034 
   8.06122449  -0.71881148 
   8.25510204  -0.71804062 
   8.44897959  -0.71730514 
   8.64285714  -0.71660265 
   8.83673469  -0.71593099 
   9.03061224  -0.71528817 
   9.22448980  -0.71467237 
   9.41836735  -0.71408193 
   9.61224490  -0.71351530 
   9.80612245  -0.71297107 
  10.00000000  -0.71244795 
